entries=2233
i,zai,name
873,481220,Cd122
874,481230,Cd123
875,481231,Cd123m
876,481240,Cd124
877,481250,Cd125
878,491060,In106
879,491061,In106m
880,491070,In107
881,491071,In107m
882,491080,In108
883,491081,In108m
884,491090,In109
885,491091,In109m
886,491092,In109n
887,491100,In110
888,491101,In110m
889,491110,In111
890,491111,In111m
891,491120,In112
892,491121,In112m
893,491130,In113
894,491131,In113m
895,491140,In114
896,491141,In114m
897,491150,In115
898,491151,In115m
899,491160,In116
900,491161,In116m
901,491162,In116n
902,491170,In117
903,491171,In117m
904,491180,In118
905,491181,In118m
906,491182,In118n
907,491190,In119
908,491191,In119m
909,491200,In120
910,491201,In120m
911,491202,In120n
912,491210,In121
913,491211,In121m
914,491220,In122
915,491221,In122m
916,491222,In122n
917,491230,In123
918,491231,In123m
919,491240,In124
920,491241,In124m
921,491250,In125
922,491251,In125m
923,491260,In126
924,491261,In126m
925,491270,In127
926,491271,In127m
927,491280,In128
928,491281,In128m
929,491282,In128n
930,501070,Sn107
931,501080,Sn108
932,501090,Sn109
933,501100,Sn110
934,501110,Sn111
935,501120,Sn112
936,501130,Sn113
937,501131,Sn113m
938,501140,Sn114
939,501150,Sn115
940,501160,Sn116
941,501170,Sn117
942,501171,Sn117m
943,501180,Sn118
944,501190,Sn119
945,501191,Sn119m
946,501200,Sn120
947,501210,Sn121
948,501211,Sn121m
949,501220,Sn122
950,501230,Sn123
951,501231,Sn123m
952,501240,Sn124
953,501250,Sn125
954,501251,Sn125m
955,501260,Sn126
956,501270,Sn127
957,501271,Sn127m
958,501280,Sn128
959,501281,Sn128m
960,501290,Sn129
961,501291,Sn129m
962,501300,Sn130
963,501301,Sn130m
964,501310,Sn131
965,501311,Sn131m
966,511120,Sb112
967,511130,Sb113
968,511140,Sb114
969,511150,Sb115
970,511160,Sb116
971,511161,Sb116m
972,511170,Sb117
973,511180,Sb118
974,511181,Sb118m
975,511190,Sb119
976,511191,Sb119m
977,511200,Sb120
978,511201,Sb120m
979,511210,Sb121
980,511220,Sb122
981,511221,Sb122m
982,511230,Sb123
983,511240,Sb124
984,511241,Sb124m
985,511242,Sb124n
986,511250,Sb125
987,511260,Sb126
988,511261,Sb126m
989,511262,Sb126n
990,511270,Sb127
991,511280,Sb128
992,511281,Sb128m
993,511290,Sb129
994,511291,Sb129m
995,511300,Sb130
996,511301,Sb130m
997,511310,Sb131
998,511320,Sb132
999,511321,Sb132m
1000,511330,Sb133
1001,521130,Te113
1002,521140,Te114
1003,521150,Te115
1004,521151,Te115m
1005,521160,Te116
1006,521170,Te117
1007,521171,Te117m
1008,521180,Te118
1009,521190,Te119
1010,521191,Te119m
1011,521200,Te120
1012,521210,Te121
1013,521211,Te121m
1014,521220,Te122
1015,521230,Te123
1016,521231,Te123m
1017,521240,Te124
1018,521250,Te125
1019,521251,Te125m
1020,521260,Te126
1021,521270,Te127
1022,521271,Te127m
1023,521280,Te128
1024,521290,Te129
1025,521291,Te129m
1026,521300,Te130
1027,521310,Te131
1028,521311,Te131m
1029,521320,Te132
1030,521330,Te133
1031,521331,Te133m
1032,521340,Te134
1033,521350,Te135
1034,531160,I116
1035,531170,I117
1036,531180,I118
1037,531181,I118m
1038,531190,I119
1039,531200,I120
1040,531201,I120m
1041,531210,I121
1042,531220,I122
1043,531230,I123
1044,531240,I124
1045,531250,I125
1046,531260,I126
1047,531270,I127
1048,531280,I128
1049,531290,I129
1050,531300,I130
1051,531301,I130m
1052,531310,I131
1053,531320,I132
1054,531321,I132m
1055,531330,I133
1056,531331,I133m
1057,531340,I134
1058,531341,I134m
1059,531350,I135
1060,531360,I136
1061,531361,I136m
1062,531370,I137
1063,541170,Xe117
1064,541180,Xe118
1065,541190,Xe119
1066,541200,Xe120
1067,541210,Xe121
1068,541220,Xe122
1069,541230,Xe123
1070,541240,Xe124
1071,541250,Xe125
1072,541251,Xe125m
1073,541260,Xe126
1074,541270,Xe127
1075,541271,Xe127m
1076,541280,Xe128
1077,541290,Xe129
1078,541291,Xe129m
1079,541300,Xe130
1080,541310,Xe131
1081,541311,Xe131m
1082,541320,Xe132
1083,541330,Xe133
1084,541331,Xe133m
1085,541340,Xe134
1086,541341,Xe134m
1087,541350,Xe135
1088,541351,Xe135m
1089,541360,Xe136
1090,541370,Xe137
1091,541380,Xe138
1092,541390,Xe139
1093,551220,Cs122
1094,551221,Cs122m
1095,551222,Cs122n
1096,551230,Cs123
1097,551231,Cs123m
1098,551240,Cs124
1099,551241,Cs124m
1100,551250,Cs125
1101,551251,Cs125m
1102,551260,Cs126
1103,551270,Cs127
1104,551280,Cs128
1105,551290,Cs129
1106,551300,Cs130
1107,551301,Cs130m
1108,551310,Cs131
1109,551320,Cs132
1110,551330,Cs133
1111,551340,Cs134
1112,551341,Cs134m
1113,551350,Cs135
1114,551351,Cs135m
1115,551360,Cs136
1116,551361,Cs136m
1117,551370,Cs137
1118,551380,Cs138
1119,551381,Cs138m
1120,551390,Cs139
1121,551400,Cs140
1122,551410,Cs141
1123,561230,Ba123
1124,561240,Ba124
1125,561250,Ba125
1126,561260,Ba126
1127,561270,Ba127
1128,561271,Ba127m
1129,561280,Ba128
1130,561290,Ba129
1131,561291,Ba129m
1132,561300,Ba130
1133,561310,Ba131
1134,561311,Ba131m
1135,561320,Ba132
1136,561330,Ba133
1137,561331,Ba133m
1138,561340,Ba134
1139,561350,Ba135
1140,561351,Ba135m
1141,561360,Ba136
1142,561361,Ba136m
1143,561370,Ba137
1144,561371,Ba137m
1145,561380,Ba138
1146,561390,Ba139
1147,561400,Ba140
1148,561410,Ba141
1149,561420,Ba142
1150,561430,Ba143
1151,571280,La128
1152,571281,La128m
1153,571290,La129
1154,571291,La129m
1155,571300,La130
1156,571310,La131
1157,571320,La132
1158,571321,La132m
1159,571330,La133
1160,571340,La134
1161,571350,La135
1162,571360,La136
1163,571361,La136m
1164,571370,La137
1165,571380,La138
1166,571390,La139
1167,571400,La140
1168,571410,La141
1169,571420,La142
1170,571430,La143
1171,571440,La144
1172,571450,La145
1173,571460,La146
1174,571461,La146m
1175,571470,La147
1176,581290,Ce129
1177,581300,Ce130
1178,581310,Ce131
1179,581311,Ce131m
1180,581320,Ce132
1181,581330,Ce133
1182,581331,Ce133m
1183,581340,Ce134
1184,581350,Ce135
1185,581351,Ce135m
1186,581360,Ce136
1187,581370,Ce137
1188,581371,Ce137m
1189,581380,Ce138
1190,581390,Ce139
1191,581391,Ce139m
1192,581400,Ce140
1193,581410,Ce141
1194,581420,Ce142
1195,581430,Ce143
1196,581440,Ce144
1197,581450,Ce145
1198,581460,Ce146
1199,581470,Ce147
1200,581480,Ce148
1201,581490,Ce149
1202,591340,Pr134
1203,591341,Pr134m
1204,591350,Pr135
1205,591360,Pr136
1206,591370,Pr137
1207,591380,Pr138
1208,591381,Pr138m
1209,591390,Pr139
1210,591400,Pr140
1211,591410,Pr141
1212,591420,Pr142
1213,591421,Pr142m
1214,591430,Pr143
1215,591440,Pr144
1216,591441,Pr144m
1217,591450,Pr145
1218,591460,Pr146
1219,591470,Pr147
1220,591480,Pr148
1221,591481,Pr148m
1222,591490,Pr149
1223,591500,Pr150
1224,591510,Pr151
1225,601350,Nd135
1226,601351,Nd135m
1227,601360,Nd136
1228,601370,Nd137
1229,601371,Nd137m
1230,601380,Nd138
1231,601390,Nd139
1232,601391,Nd139m
1233,601400,Nd140
1234,601410,Nd141
1235,601411,Nd141m
1236,601420,Nd142
1237,601430,Nd143
1238,601440,Nd144
1239,601450,Nd145
1240,601460,Nd146
1241,601470,Nd147
1242,601480,Nd148
1243,601490,Nd149
1244,601500,Nd150
1245,601510,Nd151
1246,601520,Nd152
1247,601530,Nd153
1248,601540,Nd154
1249,611350,Pm135
1250,611351,Pm135m
1251,611360,Pm136
1252,611361,Pm136m
1253,611370,Pm137
1254,611371,Pm137m
1255,611380,Pm138
1256,611381,Pm138m
1257,611390,Pm139
1258,611391,Pm139m
1259,611400,Pm140
1260,611401,Pm140m
1261,611410,Pm141
1262,611420,Pm142
1263,611430,Pm143
1264,611440,Pm144
1265,611450,Pm145
1266,611460,Pm146
1267,611470,Pm147
1268,611480,Pm148
1269,611481,Pm148m
1270,611490,Pm149
1271,611500,Pm150
1272,611510,Pm151
1273,611520,Pm152
1274,611521,Pm152m
1275,611522,Pm152n
1276,611530,Pm153
1277,611540,Pm154
1278,611541,Pm154m
1279,611550,Pm155
1280,611560,Pm156
1281,611570,Pm157
1282,621360,Sm136
1283,621370,Sm137
1284,621371,Sm137m
1285,621380,Sm138
1286,621390,Sm139
1287,621391,Sm139m
1288,621400,Sm140
1289,621410,Sm141
1290,621411,Sm141m
1291,621420,Sm142
1292,621430,Sm143
1293,621431,Sm143m
1294,621440,Sm144
1295,621450,Sm145
1296,621460,Sm146
1297,621470,Sm147
1298,621480,Sm148
1299,621490,Sm149
1300,621500,Sm150
1301,621510,Sm151
1302,621520,Sm152
1303,621530,Sm153
1304,621540,Sm154
1305,621550,Sm155
1306,621560,Sm156
1307,621570,Sm157
1308,621580,Sm158
1309,621590,Sm159
1310,631380,Eu138
1311,631390,Eu139
1312,631400,Eu140
1313,631410,Eu141
1314,631411,Eu141m
1315,631420,Eu142
1316,631421,Eu142m
1317,631430,Eu143
1318,631440,Eu144
1319,631450,Eu145
1320,631460,Eu146
1321,631470,Eu147
1322,631480,Eu148
1323,631490,Eu149
1324,631500,Eu150
1325,631501,Eu150m
1326,631510,Eu151
1327,631520,Eu152
1328,631521,Eu152m
1329,631522,Eu152n
1330,631530,Eu153
1331,631540,Eu154
1332,631541,Eu154m
1333,631550,Eu155
1334,631560,Eu156
1335,631570,Eu157
1336,631580,Eu158
1337,631590,Eu159
1338,631600,Eu160
1339,631610,Eu161
1340,631620,Eu162
1341,631630,Eu163
1342,641390,Gd139
1343,641391,Gd139m
1344,641400,Gd140
1345,641410,Gd141
1346,641411,Gd141m
1347,641420,Gd142
1348,641430,Gd143
1349,641431,Gd143m
1350,641440,Gd144
1351,641450,Gd145
1352,641451,Gd145m
1353,641460,Gd146
1354,641470,Gd147
1355,641480,Gd148
1356,641490,Gd149
1357,641500,Gd150
1358,641510,Gd151
1359,641520,Gd152
1360,641530,Gd153
1361,641540,Gd154
1362,641550,Gd155
1363,641560,Gd156
1364,641570,Gd157
1365,641580,Gd158
1366,641590,Gd159
1367,641600,Gd160
1368,641610,Gd161
1369,641620,Gd162
1370,641630,Gd163
1371,641640,Gd164
1372,641650,Gd165
1373,651440,Tb144
1374,651441,Tb144m
1375,651450,Tb145
1376,651451,Tb145m
1377,651460,Tb146
1378,651461,Tb146m
1379,651470,Tb147
1380,651471,Tb147m
1381,651480,Tb148
1382,651481,Tb148m
1383,651490,Tb149
1384,651491,Tb149m
1385,651500,Tb150
