entries=2233,dt=8.346980000000000e+07
i,zai,name,n_0,n_dt
417,310780,Ga78,0.000000000000000e+00,0.000000000000000e+00
418,310790,Ga79,0.000000000000000e+00,0.000000000000000e+00
419,320640,Ge64,0.000000000000000e+00,0.000000000000000e+00
420,320650,Ge65,0.000000000000000e+00,0.000000000000000e+00
421,320660,Ge66,0.000000000000000e+00,0.000000000000000e+00
422,320670,Ge67,0.000000000000000e+00,0.000000000000000e+00
423,320680,Ge68,0.000000000000000e+00,0.000000000000000e+00
424,320690,Ge69,0.000000000000000e+00,0.000000000000000e+00
425,320700,Ge70,0.000000000000000e+00,0.000000000000000e+00
426,320710,Ge71,0.000000000000000e+00,0.000000000000000e+00
427,320711,Ge71m,0.000000000000000e+00,0.000000000000000e+00
428,320720,Ge72,0.000000000000000e+00,0.000000000000000e+00
429,320730,Ge73,0.000000000000000e+00,0.000000000000000e+00
430,320731,Ge73m,0.000000000000000e+00,0.000000000000000e+00
431,320740,Ge74,0.000000000000000e+00,0.000000000000000e+00
432,320750,Ge75,0.000000000000000e+00,0.000000000000000e+00
433,320751,Ge75m,0.000000000000000e+00,0.000000000000000e+00
434,320760,Ge76,0.000000000000000e+00,0.000000000000000e+00
435,320770,Ge77,0.000000000000000e+00,0.000000000000000e+00
436,320771,Ge77m,0.000000000000000e+00,0.000000000000000e+00
437,320780,Ge78,0.000000000000000e+00,0.000000000000000e+00
438,320790,Ge79,0.000000000000000e+00,0.000000000000000e+00
