entries=2233,dt=1.000000000000000e+05
i,zai,name,n_0,n_dt
257,240460,Cr46,1.000000000000000e+20,0.000000000000000e+00
258,240470,Cr47,1.000000000000000e+20,0.000000000000000e+00
259,240480,Cr48,1.000000000000000e+20,8.176649481830167e+19
260,240490,Cr49,1.000000000000000e+20,1.995020239758746e+08
261,240500,Cr50,1.000000000000000e+20,4.000000000000015e+20
262,240510,Cr51,1.000000000000000e+20,2.897218256684813e+20
263,240520,Cr52,1.000000000000000e+20,6.644234816456627e+20
264,240530,Cr53,1.000000000000000e+20,3.000000002965379e+20
265,240540,Cr54,1.000000000000000e+20,3.002566957726582e+20
266,240550,Cr55,1.000000000000000e+20,0.000000000000000e+00
267,240560,Cr56,1.000000000000000e+20,5.843148470540153e-20
268,240570,Cr57,1.000000000000000e+20,0.000000000000000e+00
269,240580,Cr58,1.000000000000000e+20,0.000000000000000e+00
270,240590,Cr59,1.000000000000000e+20,0.000000000000000e+00
271,250480,Mn48,1.000000000000000e+20,1.319253784833022e-49
272,250490,Mn49,1.000000000000000e+20,0.000000000000000e+00
273,250500,Mn50,1.000000000000000e+20,0.000000000000000e+00
274,250501,Mn50m,1.000000000000000e+20,1.147849331098696e-20
275,250510,Mn51,1.000000000000000e+20,4.042988777504360e+17
276,250520,Mn52,1.000000000000000e+20,2.202819979689542e+20
277,250521,Mn52m,1.000000000000000e+20,6.530590778854332e+17
278,250530,Mn53,1.000000000000000e+20,4.999999997034621e+20
279,250540,Mn54,1.000000000000000e+20,9.974330422734155e+19
280,250550,Mn55,1.000000000000000e+20,4.001435278885088e+20
281,250560,Mn56,1.000000000000000e+20,1.782451791944642e+17
282,250570,Mn57,1.000000000000000e+20,2.751985808064386e-21
283,250580,Mn58,1.000000000000000e+20,2.723482125404247e-22
284,250581,Mn58m,1.000000000000000e+20,5.179323333201052e-37
285,250590,Mn59,1.000000000000000e+20,0.000000000000000e+00
286,250600,Mn60,1.000000000000000e+20,4.188029695674837e-23
287,250601,Mn60m,1.000000000000000e+20,4.469165299627236e-37
288,250610,Mn61,1.000000000000000e+20,1.160434253885982e-34
289,250620,Mn62,1.000000000000000e+20,1.454860287649989e-32
290,250630,Mn63,1.000000000000000e+20,0.000000000000000e+00
291,250640,Mn64,1.000000000000000e+20,2.604613997215378e-58
292,260490,Fe49,1.000000000000000e+20,1.000000000000000e+20
293,260500,Fe50,1.000000000000000e+20,1.360097023932182e-49
294,260510,Fe51,1.000000000000000e+20,2.264773793902033e+18
295,260520,Fe52,1.000000000000000e+20,1.464146130749747e+19
296,260521,Fe52m,1.000000000000000e+20,3.589035132875105e-22
297,260530,Fe53,1.000000000000000e+20,0.000000000000000e+00
298,260531,Fe53m,1.000000000000000e+20,2.748786278967171e-24
299,260540,Fe54,1.000000000000000e+20,3.999999999999999e+20
300,260550,Fe55,1.000000000000000e+20,2.334388983586638e+20
301,260560,Fe56,1.000000000000000e+20,4.013845805873152e+20
302,260570,Fe57,1.000000000000000e+20,4.800300147440240e+20
303,260580,Fe58,1.000000000000000e+20,4.217918688536735e+20
304,260590,Fe59,1.000000000000000e+20,2.946396609513275e+20
305,260600,Fe60,1.000000000000000e+20,2.999999995608119e+20
306,260610,Fe61,1.000000000000000e+20,7.997096290046097e-20
307,260620,Fe62,1.000000000000000e+20,3.936818140279267e-22
308,260630,Fe63,1.000000000000000e+20,0.000000000000000e+00
309,260640,Fe64,1.000000000000000e+20,3.363589727859823e-37
310,260650,Fe65,1.000000000000000e+20,0.000000000000000e+00
311,270520,Co52,1.000000000000000e+20,9.860883301391596e-54
312,270530,Co53,1.000000000000000e+20,3.540136127939416e-46
313,270540,Co54,1.000000000000000e+20,6.447615628069416e-47
314,270541,Co54m,1.000000000000000e+20,0.000000000000000e+00
315,270550,Co55,1.000000000000000e+20,6.681757375282699e+19
316,270560,Co56,1.000000000000000e+20,1.235296838491629e+20
317,270570,Co57,1.000000000000000e+20,1.838365261856943e+20
318,270580,Co58,1.000000000000000e+20,1.867145524757161e+20
319,270581,Co58m,1.000000000000000e+20,1.149357867060990e+19
